,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary
0,0.76378465,4,-0.8380709,7,0.7460277,2,15,5,4,0,-0.14591825,4.5034127,-0.035428904,39,1
1,0.39722738,4,0.44498006,12,1.523415,0,4,1,4,1,1.2785345,-0.2166562,0.36951372,39,1
2,-0.04264137,4,-0.88672084,11,-0.42005318,0,15,4,2,0,-0.14591825,-0.2166562,-0.6833371,39,0
3,-0.04264137,5,-0.728862,14,1.9121085,2,10,0,1,1,-0.14591825,-0.2166562,-0.035428904,39,1
4,0.25060445,6,-1.0182984,5,-2.3635213,2,8,5,2,0,-0.14591825,-0.2166562,0.7744563,39,0
5,-1.3622476,4,-1.1991321,11,-0.42005318,4,6,3,4,1,-0.14591825,-0.2166562,-2.060142,39,0
6,0.76378465,4,-1.3770194,15,-0.031359546,0,15,2,4,1,-0.14591825,-0.2166562,-0.4403715,39,0
7,-0.11595283,4,-0.48165208,1,-1.1974404,2,15,0,4,1,-0.14591825,-0.2166562,-0.035428904,39,0
8,0.5438503,4,1.3115838,11,-0.42005318,2,3,0,4,1,-0.14591825,-0.2166562,-0.035428904,39,1
9,-0.18926428,5,0.25516474,11,-0.42005318,2,15,0,4,1,13.394372,-0.2166562,0.7744563,0,1
10,-1.1423132,4,3.2159612,9,1.1347214,4,15,3,2,1,-0.14591825,-0.2166562,-2.4650846,39,0
11,-1.5088705,4,0.2511193,1,-1.1974404,4,1,3,4,0,-0.14591825,-0.2166562,-1.6551993,39,0
12,-0.62913305,4,-0.35802343,8,0.35733408,2,15,5,4,0,-0.14591825,-0.2166562,-0.035428904,39,0
13,-0.62913305,4,-1.2741581,9,1.1347214,2,15,0,4,1,-0.14591825,-0.2166562,-0.035428904,39,1
14,0.32391593,4,-0.99590135,8,0.35733408,2,12,0,4,1,-0.14591825,-0.2166562,0.36951372,39,0
15,0.9104076,4,0.89579016,11,-0.42005318,6,15,4,4,1,-0.14591825,-0.2166562,-0.035428904,39,0
16,-0.04264137,4,-0.18573539,0,-1.5861341,2,7,0,4,1,-0.14591825,-0.2166562,-0.035428904,39,1
17,-0.26257575,4,0.67754287,12,1.523415,4,15,1,4,1,-0.14591825,-0.2166562,1.5843415,39,0
18,1.2769649,7,0.798983,12,1.523415,0,15,1,4,1,-0.14591825,3.9251919,-0.035428904,39,0
19,0.47053882,4,0.74077356,9,1.1347214,2,10,0,4,1,-0.14591825,-0.2166562,0.36951372,39,1
20,0.10398155,4,-0.007923891,15,-0.031359546,2,15,5,2,0,-0.14591825,-0.2166562,-0.035428904,33,0
21,-0.9223789,4,5.2738395,11,-0.42005318,4,6,3,2,1,-0.14591825,-0.2166562,0.61247927,39,0
22,0.5438503,4,-0.6837838,6,-1.9748276,0,12,1,4,1,-0.14591825,-0.2166562,-0.4403715,39,0
23,-0.7024445,4,10.218483,11,-0.42005318,3,15,3,2,1,-0.14591825,-0.2166562,-0.035428904,39,0
24,0.76378465,4,0.54491377,11,-0.42005318,2,3,0,4,1,-0.14591825,-0.2166562,0.36951372,39,1
25,1.2036535,5,0.31110033,12,1.523415,2,4,0,4,1,-0.14591825,-0.2166562,1.5843415,39,0
26,0.61716175,6,0.22706431,15,-0.031359546,0,15,4,4,0,-0.14591825,-0.2166562,0.36951372,39,0
27,0.177293,5,-0.3665502,15,-0.031359546,2,15,0,4,1,-0.14591825,-0.2166562,0.7744563,39,0
28,-0.8490674,4,-0.34770605,14,1.9121085,4,10,3,1,1,-0.14591825,-0.2166562,-0.035428904,39,0
29,0.25060445,4,-1.1342813,1,-1.1974404,2,15,0,4,1,-0.14591825,-0.2166562,0.36951372,39,0
30,0.5438503,4,1.5541986,7,0.7460277,4,1,1,4,1,-0.14591825,-0.2166562,-0.035428904,39,0
31,-1.5088705,4,-0.93087053,11,-0.42005318,4,12,2,4,1,-0.14591825,-0.2166562,-1.2502568,39,0
32,0.47053882,4,0.4984618,9,1.1347214,2,4,0,4,1,-0.14591825,-0.2166562,-0.035428904,39,1
33,0.177293,4,-0.4660197,15,-0.031359546,4,12,1,2,1,-0.14591825,-0.2166562,-0.60234857,39,0
34,0.61716175,1,-0.8243239,10,2.3008022,2,15,0,4,1,-0.14591825,-0.2166562,-0.035428904,39,1
35,-0.26257575,2,-0.7820501,11,-0.42005318,4,15,4,0,1,-0.14591825,-0.2166562,1.1793989,39,0
36,0.39722738,2,-0.3752475,11,-0.42005318,0,1,4,4,0,-0.14591825,-0.2166562,-0.035428904,39,0
37,-0.7024445,2,2.1785285,7,0.7460277,4,15,1,4,1,0.35155702,-0.2166562,-0.035428904,39,0
38,-0.18926428,6,0.47026664,11,-0.42005318,2,15,0,4,1,-0.14591825,-0.2166562,-0.4403715,39,0
39,0.030670086,4,-0.37568334,7,0.7460277,0,15,4,2,0,-0.14591825,-0.2166562,-0.035428904,39,0
40,-1.1423132,4,0.31403732,11,-0.42005318,2,15,3,4,0,0.13910772,-0.2166562,-0.035428904,39,0
41,-1.435559,4,0.6969176,11,-0.42005318,4,6,3,4,1,-0.14591825,-0.2166562,-1.6551993,39,0
42,-0.7024445,4,-0.30806607,12,1.523415,4,4,1,4,0,-0.14591825,-0.2166562,0.36951372,39,0
43,-1.0690018,4,-0.25755918,9,1.1347214,4,1,1,1,0,-0.14591825,-0.2166562,-0.035428904,39,0
44,0.5438503,2,-0.6225237,12,1.523415,0,4,4,4,0,-0.14591825,-0.2166562,1.9892842,39,1
45,-0.62913305,4,0.25611216,11,-0.42005318,2,15,0,0,1,-0.14591825,-0.2166562,-0.035428904,39,0
46,-0.3358872,4,0.7203093,11,-0.42005318,2,15,0,4,1,-0.14591825,4.873176,1.1793989,39,0
47,1.0570306,4,0.39924815,11,-0.42005318,2,15,0,4,1,-0.14591825,-0.2166562,0.36951372,39,0
48,-0.7024445,4,-0.4079524,11,-0.42005318,4,14,1,4,0,-0.14591825,-0.2166562,0.36951372,39,0
49,0.76378465,2,-1.0508705,12,1.523415,6,10,4,4,0,-0.14591825,0.58491176,-1.6551993,39,0
50,-0.48251012,2,0.38970765,12,1.523415,4,15,1,4,0,0.51282346,-0.2166562,-0.035428904,39,0
51,0.25060445,4,-1.4543571,9,1.1347214,2,15,0,4,1,-0.14591825,-0.2166562,-0.035428904,39,1
52,-1.3622476,4,-1.2643902,15,-0.031359546,4,15,3,4,1,0.14872143,-0.2166562,-1.2502568,39,0
53,-1.0690018,4,-0.74209744,11,-0.42005318,4,14,4,2,1,-0.14591825,-0.2166562,-0.035428904,39,0
54,-0.04264137,6,-0.53509593,7,0.7460277,2,15,0,4,1,-0.14591825,-0.2166562,-0.035428904,39,0
55,-0.18926428,4,-0.31922665,11,-0.42005318,4,12,3,4,0,-0.14591825,-0.2166562,-0.035428904,39,0
56,0.25060445,6,1.4698405,15,-0.031359546,2,15,5,4,0,-0.14591825,-0.2166562,0.7744563,39,0
57,1.4235878,4,0.27003923,9,1.1347214,2,1,0,4,1,-0.14591825,-0.2166562,-0.035428904,26,0
58,0.5438503,6,0.53003925,15,-0.031359546,0,15,1,4,1,-0.14591825,-0.2166562,0.7744563,39,0
59,-0.3358872,1,0.014814152,9,1.1347214,2,15,0,1,1,-0.14591825,-0.2166562,-0.19740595,39,0
60,1.0570306,6,0.7024789,9,1.1347214,2,15,0,4,1,-0.14591825,-0.2166562,-0.035428904,2,1
61,2.0100794,0,-0.11773917,9,1.1347214,2,0,0,4,1,-0.14591825,5.178417,-0.035428904,39,1
62,-0.48251012,6,-1.1795394,10,2.3008022,2,15,0,4,1,-0.14591825,-0.2166562,-0.035428904,39,0
63,-0.99569035,4,0.0054157614,0,-1.5861341,2,8,3,4,0,-0.14591825,-0.2166562,-0.4403715,39,0
64,0.61716175,4,-0.24599122,0,-1.5861341,2,3,0,4,1,-0.14591825,-0.2166562,-0.035428904,39,0
65,1.6435221,4,-0.057255972,15,-0.031359546,2,12,0,4,1,-0.14591825,-0.2166562,0.36951372,39,1
66,1.130342,5,0.16281986,15,-0.031359546,2,12,0,4,1,-0.14591825,4.689535,-0.035428904,39,1
67,2.3033252,4,-0.82584924,15,-0.031359546,0,8,1,4,1,-0.14591825,-0.2166562,3.204112,39,0
68,-1.3622476,4,-0.40807557,15,-0.031359546,2,15,2,4,0,-0.14591825,-0.2166562,-0.84531415,39,0
